,date,Open,Close,High,Low,volume,code
129,2017/7/17,450.641,443.769,451.627,440.032,35263,600519
130,2017/7/18,445.662,446.214,447.634,441.728,30684,600519
131,2017/7/19,447.644,450.464,457.129,446.461,56259,600519
132,2017/7/20,449.478,459.939,460.354,449.478,46634,600519
133,2017/7/21,460.423,466.575,468.36,457.169,46792,600519
134,2017/7/24,468.232,471.111,478.555,468.232,42716,600519
135,2017/7/25,475.449,471.269,476.041,469.435,21929,600519
136,2017/7/26,471.357,465.027,474.887,460.028,31470,600519
137,2017/7/27,465.027,467.236,469.188,464.505,19595,600519
138,2017/7/28,464.406,477.145,477.293,461.162,46618,600519
139,2017/7/31,477.224,474.483,481.129,474.266,38412,600519
140,2017/8/1,474.266,473.517,476.238,470.716,27501,600519
141,2017/8/2,473.319,476.08,478.092,471.811,26774,600519
142,2017/8/3,476.909,470.539,480.034,468.971,31768,600519
143,2017/8/4,470.322,467.009,472.274,465.984,18681,600519
144,2017/8/7,465.885,474.818,475.646,464.534,23099,600519
145,2017/8/8,475.252,475.824,477.441,472.787,16051,600519
146,2017/8/9,478.052,483.978,486.078,475.282,41794,600519
147,2017/8/10,484.215,484.747,492.606,482.154,35364,600519
148,2017/8/11,482.154,477.283,489.598,476.711,36572,600519
149,2017/8/14,478.417,492.832,493.099,478.417,39331,600519
150,2017/8/15,493.109,489.026,494.085,488.08,27163,600519
151,2017/8/16,491.028,489.539,491.817,486.098,18587,600519
152,2017/8/17,490.634,485.792,490.634,482.943,25846,600519
153,2017/8/18,485.901,482.795,487.518,481.168,23857,600519
154,2017/8/21,481.168,482.874,487.478,480.123,23546,600519
155,2017/8/22,480.576,480.399,482.627,469.336,42457,600519
156,2017/8/23,478.654,487.094,487.705,477.54,27214,600519
157,2017/8/24,487.074,485.911,489.45,485.132,18156,600519
158,2017/8/25,486.542,486.088,487.331,482.47,17297,600519
159,2017/8/28,486.098,485.151,490.328,484.156,29021,600519
160,2017/8/29,486.118,482.588,487.952,481.178,25176,600519
161,2017/8/30,482.844,486.068,486.838,482.312,18503,600519
162,2017/8/31,487.123,484.274,487.952,482.943,18736,600519
163,2017/9/1,483.337,488.248,489.332,483.17,31451,600519
164,2017/9/4,488.248,485.526,489.707,484.392,18931,600519
165,2017/9/5,485.98,483.13,487.074,482.647,22622,600519
166,2017/9/6,483.14,478.19,485.871,478.052,33006,600519
167,2017/9/7,478.516,474.532,480.083,473.339,33320,600519
168,2017/9/8,471.555,467.729,473.773,467.364,41173,600519
169,2017/9/11,464.495,471.624,475.469,463.4,45374,600519
170,2017/9/12,472.787,478.121,479.196,471.702,34341,600519
171,2017/9/13,478.21,484.747,485.309,474.641,33075,600519
172,2017/9/14,486.088,483.84,487.114,482.144,19399,600519
173,2017/9/15,485.605,482.982,485.605,481.168,16039,600519
174,2017/9/18,483.278,491.984,493.493,483.278,42206,600519
175,2017/9/19,493.296,489.993,495.465,489.066,23054,600519
176,2017/9/20,489.943,489.253,493.02,489.056,17318,600519
177,2017/9/21,488.997,491.787,493.572,485.98,19402,600519
178,2017/9/22,489.943,492.931,493.178,488.859,16343,600519
179,2017/9/25,493.306,500.139,501.085,493.296,32697,600519
180,2017/9/26,499.596,502.16,502.86,496.55,25470,600519
181,2017/9/27,501.795,501.095,503.876,498.985,16671,600519
182,2017/9/28,500.099,511.202,512.917,500.05,25969,600519
183,2017/9/29,508.776,510.393,518.518,508.283,22436,600519
184,2017/10/9,517.196,520.381,528.052,512.819,34891,600519
185,2017/10/10,519.671,532.499,532.923,519.632,31006,600519
186,2017/10/11,530.567,537.902,543.533,530.567,33406,600519
187,2017/10/12,537.37,536.473,539.835,532.618,19646,600519
188,2017/10/13,537.37,548.364,548.808,534.422,27858,600519
189,2017/10/16,552.15,552.84,558.727,548.088,29909,600519
190,2017/10/17,553.116,548.936,553.116,546.244,20977,600519
191,2017/10/18,546.441,552.87,554.714,546.441,19178,600519
192,2017/10/19,553.146,574.444,576.958,552.87,40658,600519
193,2017/10/20,572.866,566.289,572.866,563.755,31534,600519
194,2017/10/23,566.871,565.382,572.373,560.048,23771,600519
195,2017/10/24,563.992,559.387,565.767,555.72,31274,600519
196,2017/10/25,561.774,557.751,563.677,554.191,25076,600519
197,2017/10/26,596.53,596.619,604.418,583.623,115434,600519
198,2017/10/27,593.681,640.535,645.83,591.63,84383,600519
199,2017/10/30,634.047,613.371,634.984,612.306,81007,600519
200,2017/10/31,613.302,609.378,618.814,603.314,51875,600519
201,2017/11/1,612.188,614.288,622.698,610.551,43435,600519
202,2017/11/2,618.173,618.143,620.963,612.306,34249,600519
203,2017/11/3,619.849,630.222,634.432,619.849,48188,600519
204,2017/11/6,632.519,643.917,648.413,631.237,48513,600519
205,2017/11/7,641.472,633.081,647.95,629.246,55564,600519
206,2017/11/8,633.337,641.275,645.337,633.337,43951,600519
207,2017/11/9,638.928,640.969,644.992,635.586,33641,600519
208,2017/11/10,641.324,668.459,673.832,641.324,74078,600519
209,2017/11/13,670.48,678.25,683.081,666.339,49869,600519
